RowId,index,ra,dec,type,const,mag,name,rarad,decrad,bf,bayer,flam,spect,lum,ci,gl,comp,hyg_id,comp_primary,base,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
STAR-3852,,6.29296,46.423953,Star,Aur,6.53,,,,42    Aur,,42.0,F0V,10.784499632938315,0.263,,1,29811,29811,,,,,,,,,,,,,
STAR-3853,,6.29309,-10.724988,Star,Mon,6.76,,,,6    Mon,,6.0,F0e...,311.8889584093935,0.364,,1,29812,29812,,,,,,,,,,,,,
STAR-3854,,6.294923,-16.815908,Star,CMa,5.15,,,,,,,K1III,273.1492422089182,1.293,,1,29822,29822,,,,,,,,,,,,,
STAR-3855,,6.295619,-19.188705,Star,CMa,6.72,,,,,,,B5IV/V,352.858025828527,-0.121,,1,29827,29827,,,,,,,,,,,,,
STAR-3856,,6.295828,39.473876,Star,Aur,6.72,,,,,,,K2,632.7031548665012,1.902,,1,29828,29828,,,,,,,,,,,,,
STAR-3857,,6.297706,-52.733031,Star,Car,6.4,,,,,,,K2/K3III,321.8103443093442,1.456,,1,29840,29840,,,,,,,,,,,,,
STAR-3858,,6.298148,-4.382681,Star,Mon,6.65,,,,,,,K0,47.424198526024455,1.191,,1,29844,29844,,,,,,,,,,,,,
STAR-3859,,6.298563,61.515286,Star,Lyn,5.01,,,,1    Lyn,,1.0,M3III,330.5217168699801,1.843,,1,29846,29846,,,,,,,,,,,,,
STAR-3860,,6.30154,-53.55907,Star,Car,6.86,,,,,,,A3m...,41.648560934074126,0.171,,1,29856,29856,,,,,,,,,,,,,
STAR-3861,,6.301558,14.382859,Star,Ori,6.12,,,,,,,A3V,150.66070661867417,0.035,,1,29858,29858,,,,,,,,,,,,,
STAR-3862,,6.302352,-6.725379,Star,Mon,6.79,,,,,,,K0,33.60469824606994,1.049,,1,29863,29863,,,,,,,,,,,,,
STAR-3863,,6.303813,-19.966974,Star,CMa,5.51,,,,,,,B2/B3V,323.8918349968776,-0.163,,1,29868,29868,,,,,,,,,,,,,
STAR-3864,,6.304684,46.360443,Star,Aur,6.33,,,,43    Aur,,43.0,K2III,37.60105236684958,1.113,,1,29876,29876,,,,,,,,,,,,,
STAR-3865,,6.304841,-5.654343,Star,Mon,6.88,,,,,,,A0,56.8067574106772,,,1,29878,29878,,,,,,,,,,,,,
STAR-3866,,6.305775,27.210146,Star,Gem,6.66,,,,,,,K1III,29.268468623787875,1.122,,1,29882,29882,,,,,,,,,,,,,
STAR-3867,,6.310491,29.781407,Star,Aur,6.86,,,,,,,A0,23.01441817408508,0.008,,1,29902,29902,,,,,,,,,,,,,
STAR-3868,,6.311209,9.047183,Star,Ori,6.24,,,,,,,K0,27.13938487641588,0.87,,1,29909,29909,,,,,,,,,,,,,
STAR-3869,,6.313553,-15.024954,Star,CMa,6.04,,,,,,,M1III:,102.51797048255568,1.663,,1,29920,29920,,,,,,,,,,,,,
STAR-3870,,6.314051,-9.390018,Star,Mon,5.36,,,,,,,K1III,129.77767816857812,1.239,,1,29922,29922,,,,,,,,,,,,,
STAR-3871,,6.314105,69.319787,Star,Cam,4.76,,,,,,,A0Vn,31.27519311407981,0.025,,1,29924,29924,,,,,,,,,,,,,
STAR-3872,,6.314962,35.207945,Star,Aur,6.62,,,,,,,K0,44.01492842868153,0.97,,1,29929,29929,,,,,,,,,,,,,
STAR-3873,,6.315118,23.603282,Star,Gem,6.58,,,,,,10.0,G5,149.2794409578996,0.906,,1,29930,29930,,,,,,,,,,,,,
STAR-3874,,6.316382,-20.925611,Star,CMa,5.79,,,,,,,B3II/III,1215.6260552373797,-0.155,,1,29938,29938,,,,,,,,,,,,,
STAR-3875,,6.317178,17.325259,Star,Ori,6.27,,,,,,,B9IIIsp...,183.3158428670853,-0.094,,1,29946,29946,,,,,,,,,,,,,
STAR-3876,,6.318001,47.394033,Star,Aur,6.83,,,,,,,F5,1.665712328068809,0.561,,1,29950,29950,,,,,,,,,,,,,
STAR-3877,,6.318409,12.746733,Star,Ori,6.73,,,,,,,B8,108.44261957670734,-0.12,,1,29952,29952,,,,,,,,,,,,,
STAR-3878,,6.31887,-8.586012,Star,Mon,6.22,,,,,,,B9V,45.708818961487495,-0.043,,1,29954,29954,,,,,,,,,,,,,
STAR-3879,,6.319438,56.526592,Star,Lyn,6.9,,,,,,,K1III,37.77461093882191,1.141,,1,29958,29958,,,,,,,,,,,,,
STAR-3880,,6.320886,-69.784552,Star,Dor,6.91,,,,,,,F6V,5.375266487867444,0.513,,1,29965,29965,,,,,,,,,,,,,
STAR-3881,,6.322027,23.469405,Star,Gem,6.91,,,,,,11.0,B0II,1469.6028989796505,0.252,,1,29973,29973,,,,,,,,,,,,,
STAR-3882,,6.322923,23.274507,Star,Gem,6.95,,,,,,12.0,A0II,868.5603503487771,0.442,,1,29976,29976,,,,,,,,,,,,,
STAR-3883,,6.323724,13.433939,Star,Ori,6.9,,,,,,,F7V,9.8627948563121,0.47,,1,29978,29978,,,,,,,,,,,,,
STAR-3884,,6.326616,69.569076,Star,Cam,6.77,,,,,,,A5,22.38721138568339,0.264,,1,29985,29985,,,,,,,,,,,,,
STAR-3885,,6.327052,59.010964,Star,Lyn,4.44,,,,2    Lyn,,2.0,A2Vs,33.6356635748362,0.032,,1,29987,29987,,,,,,,,,,,,,
STAR-3886,,6.32727,-22.103119,Star,CMa,6.29,,,,,,,K3III,211.83611352485025,1.473,,1,29989,29989,,,,,,,,,,,,,
